Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2025-08-28,Naked Gun 33⅓: The Final Insult,1994,https://boxd.it/aT4kPr,2,,,2025-08-27
2026-01-06,"Paris, Texas",1984,https://boxd.it/ctFlqj,4.5,,,2026-01-05
2026-01-11,The Secret Agent,2025,https://boxd.it/czpSKj,4,,"in theater, cine",2026-01-10
