Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-06-21,Murder By The Book,1971,,,,Directed by Steven Spielberg ⁉️⁉️⁉️,,2024-06-20
2024-10-20,I H8 AI,2024,,0.5,,watched on 2x speed booo,,2024-10-18
2025-01-27,Fictitious Anacin Commercial,1967,,,,Big pharma,,2025-01-26
2025-03-21,Welcome to Lumon,,,,,s2 finale was crazy,,2025-03-20
