Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-06-21,Murder By The Book,1971,,,,,2024-06-20
2024-10-20,I H8 AI,2024,,0.5,,,2024-10-18
2025-01-27,Fictitious Anacin Commercial,1967,,,,,2025-01-26
2025-03-21,Welcome to Lumon,,,,,,2025-03-20
